WatershedDistrict,LargeBasin,CreekBasin,Project,CollectionDate,Accela,ParcelNumber,Address,District,BuyoutAcreage85pct,TotalFunds
Central Catawba,McAlpine,McAlpine,Hendrick Corporate Independence,2015,LDX-2015-00001,19102207,6030 E. Independence Blvd.,TSA,0.48,29000
Central Catawba,McAlpine,McAlpine,Hendrick Luxury Collision Center ,2012,LDX-2012-00002,13306254,5141 E. Independence,Redev,0.796666667,47800
Central Catawba,McAlpine,McAlpine,Hendrick Motors of Charlotte Autohaus,2014,LDX-2013-00037,13308115,5201 E Independence Blvd.,Redev,4.67,280000
Central Catawba,McAlpine,McAlpine,Independence Stormwater Master Plan,2016,LDX-2015-00037,19106115,7016 E Independence Bv,Redev,3.41,204500
Central Catawba,McAlpine,McAlpine,McDonald's,2011,LDC-2010-00001,10316107,6301 Albemarle Road,DBD,0.9,54000
Central Catawba,McAlpine,McAlpine,Quik Trip #1053,2014,LDC-2012-00012,10326102,6721 Albemarle,DBD,1.92,115200
Central Catawba,McAlpine,McAlpine,Quik Trip #1059,2015,LDC-2014-00160,10304128,5201 Central Ave.,DBD,1.76,105100
Central Catawba,McAlpine,McAlpine,Silver Stream Road ,2015,LDGEN-2014-00007,21127348,3343 Silver Stream Rd.,Redev,0.363,21800
Yadkin,McKee,McKee,,,,,,,,
Central Catawba,McAlpine,McMullen,7-Eleven #35580***,2014,LDX-2012-00036,22144110,7511 Pineville Matthews Rd.,Redev,0.55,33200
Central Catawba,McAlpine,McMullen,7-Eleven (Monroe),2013,LDC-2012-00147,16106503,5343 Monroe Rd.,DBD,0.7,42000
Central Catawba,McAlpine,McMullen,Birnen Pond,,,,,,,
Central Catawba,McAlpine,McMullen,Charlotte Catholic High School Parking Deck,2015,LDC-2014-00062,20924302,7702 Pineville-Matthews Rd.,Redev,2.849,226410
Central Catawba,McAlpine,McMullen,McDonald's Meridian Place,2016,LDC-2014-00140,19101113,720 Meridian Center Dr,TSA&DBD,0.94,56600
Central Catawba,McAlpine,McMullen,Silver Oak Apartments,2014,LDUMUDD-2012-00065,19101104,6201 Monroe,TSA&DBD,0.53,31800
Central Catawba,McAlpine,McMullen,Silver Oak Apartments Revision,2014,LDUR-2014-00001,19101111,6501 Monroe Rd.,TSA&DBD,1.3,78000
Central Catawba,McAlpine,McMullen,Silver Oak Block 1,2014,LDC-2013-00103,19101104,6201 Monroe,TSA&DBD,0.44,26450
Central Catawba,McAlpine,McMullen,"Walgreen's (Johnston, 51)",2012,LDC-2011-00093,20924305,7824 Pineville Matthews Rd.,Variance,1.01,60900
Western Catawba,Paw,Paw,FedEx Charlotte Hub Parking Expansion,2014,LDX-2013-00036,5714102,6600 CSX Way,DBD,0.47,28200
Yadkin,Reedy,Reedy,,,,,,,,
Yadkin,Six Mile,Six Mile,,,,,,,,
Central Catawba,Steele,Steele,,,,,,,,
Central Catawba,Sugar,Sugar,Cato Corporate Bldg Addition,2012,LDC-2011-00060,20516301,8100 Denmark Rd.,Variance,1.2,78000
Central Catawba,Sugar,Sugar,Home 2 By Hilton Airport,2015,LDC-2013-00208,6129107,2707 Little Rock Rd.,DBD,1.53,91800
Central Catawba,Sugar,Sugar,Wiki Wiki Carwash,2011,LDX-2010-00008,16908209,1036 Tyvola Rd.,TSA,0.63,37800
Yadkin,Twelve Mile,Twelve Mile,,,,,,,,
Central Catawba,Little Sugar,Upper Little Sugar,1201 Central Apartments,2016,LDUPED-2015-00037,8118101,934 Hawthorne Ln,DBD,3.13,187800
Central Catawba,Little Sugar,Upper Little Sugar,1305 Central Ave.,2015,LDUPED-2014-00051,8118113,1305 Central Ave.,DBD,2.18,168600
Central Catawba,Little Sugar,Upper Little Sugar,7-Eleven Tryon & Craighead,2014,LDX-2013-00051,8503101,3737 N. Tryon St.,DBD,0.73,43800
Central Catawba,Little Sugar,Upper Little Sugar,AAA Montford Drive,2013,LDX-2013-00011,17514203,1812 Montford Dr.,<1ACRE,0.49,29400
Central Catawba,Little Sugar,Upper Little Sugar,Bank of America South End,2016,LDC-2015-00122,12107401,212 Iverson Way,TSA,0.58,34800
Central Catawba,Little Sugar,Upper Little Sugar,Bank of the Ozarks,2012,LDUUMUDD-2011-00041,14920356,4126 Park Rd.,Redev,0.79,47400
Central Catawba,Little Sugar,Upper Little Sugar,Cambridge Apartments aka 1200 South Bv Apartments,2015,LDUTOD-2012-00007,12303605,1200 South Blvd.,TSA,2.66,159600
Central Catawba,Little Sugar,Upper Little Sugar,CATS N Davidson Renovation,2010,LDC-2010-00013,8108701,914 N Davidson St,TSA&DBD,0.98,58800
Central Catawba,Little Sugar,Upper Little Sugar,Charlotte Orthopedic Hospital - Phase 2 Building Package,2016,LDC-2015-00265,12703901,1901 Randolph Rd,Redev,1.355,91950
Central Catawba,Little Sugar,Upper Little Sugar,Clement Avenue Apartments,2014,LDUPED-2013-00018,8117503,1114 Clement Ave.,DBD,0.59,35400
Central Catawba,Little Sugar,Upper Little Sugar,Crescent Dilworth,2015,LDUPED-2013-00024,12521107,1400 Harding Pl.,Redev,1.875,138750
Central Catawba,Little Sugar,Upper Little Sugar,Crescent NODA,2016,LDUTOD-2015-00051,8303103,430 E 36th St,TSA,4.87,292200
Central Catawba,Little Sugar,Upper Little Sugar,Dilworth Court,2015,LDUTOD-2014-00058,12105606,321 E Tremont Ave.,<1ACRE,0.44,26400
Central Catawba,Little Sugar,Upper Little Sugar,Drexel Place Apartments,2013,LDUMUDD-2012-00047,14920620,4320 Park Rd.,<1ACRE,0.89,53400
Central Catawba,Little Sugar,Upper Little Sugar,Duke Endowment,2015,LDUMUDD-2012-00058,12305310,800 E. Morehead,Redev,1.12,67300
Central Catawba,Little Sugar,Upper Little Sugar,First Ward Elementary School Demo,2012,LDUUMUDD-2011-00047,8007201,401 E. 9th St.,TSA,0.72,43200
Central Catawba,Little Sugar,Upper Little Sugar,First Ward Park,2016,LDUUMUDD-2013-00055,8002105,301 E 7th St,TSA,1.4,84000
Central Catawba,Little Sugar,Upper Little Sugar,Graham Street Self Storage,2016,LDC-2015-00244,7811301,435 W Liddell St,DBD,0.93,55800
Central Catawba,Little Sugar,Upper Little Sugar,Grove at Cherry (Separate Block),2015,SDRSF-2014-00052,12523425,1504 Luther St.,<1ACRE,0.53,31800
Central Catawba,Little Sugar,Upper Little Sugar,Grove at Cherry (Variance),2015,SDRSF-2014-00052,12523428,1805 Baxter St.,Variance,1.01,60900
Central Catawba,Little Sugar,Upper Little Sugar,Hawthorne Medical Office Building,2016,LDC-2015-00220,8019808,325 Hawthorne Ln,Redev,1.02,61800
Central Catawba,Little Sugar,Upper Little Sugar,Ideal Way Townhomes,2015,SDRMF-2014-00040,12107601,301 Ideal Way,<1ACRE,0.61,36600
Central Catawba,Little Sugar,Upper Little Sugar,Lofts at Seigle Point,2011,LDUMUDD-2010-00001,8108612,1035 E. 10th St.,DBD,1.95,117000
Central Catawba,Little Sugar,Upper Little Sugar,Long Animal Hospital,2012,LDUMUDD-2011-00030,12107709,2517 South Bv.,TSA,0.76,45600
Central Catawba,Little Sugar,Upper Little Sugar,Midwood Square,2015,LDUPED-2014-00025,8117713,720 Lamar Ave.,DBD,1.8,108000
Central Catawba,Little Sugar,Upper Little Sugar,NODA Brewing,2015,LDC-2015-00013,8501414,2921 N Tryon St.,DBD,0.716,43000
Central Catawba,Little Sugar,Upper Little Sugar,Nolen Place,2015,LDXR-2015-00003,15304217,1200 Queens Rd.,Redev,0.93,55800
Central Catawba,Little Sugar,Upper Little Sugar,North Carolina Dance Theater ,2009,LDUMUDD-2008-00079,7804504,701 N. Tryon St,TSA,0.776,46560
Central Catawba,Little Sugar,Upper Little Sugar,OmniSource,2011,LDC-2011-00011,8505401,419 Atando Ave.,DBD,1.82,109200
Central Catawba,Little Sugar,Upper Little Sugar,Park Road Park Bioretention,,,,,,,
Central Catawba,Little Sugar,Upper Little Sugar,Skyhouse Charlotte,2014,LDUUMUDD-2013-00002,7803301,631 N Tryon St.,TSA,1.21,72300
Central Catawba,Little Sugar,Upper Little Sugar,South Kings Midtown,2016,LUMUDD-2012-00060,12510605,137 S Kings Dr,TSA,1.88,112800
Central Catawba,Little Sugar,Upper Little Sugar,Southpark Auto Bell,2012,LDC-2011-00179,17124301,5606 Park Road,Redev,0.9,54000
Central Catawba,Little Sugar,Upper Little Sugar,Stratford Apartments,2016,SDRMFR-2014-00003,17512105,5115 Park Rd,Redev,3.28,265200
Central Catawba,Little Sugar,Upper Little Sugar,UNCC Uptown Campus,2010,LDUUMUDD-2009-00019,8004307,517 N. Brevard St.,TSA,0.6435,38610
Central Catawba,Little Sugar,Upper Little Sugar,Yards at NODA Apartments,2013,LDUMUDD-2012-00056,8303142,401 E 33rd St.,DBD,7.04,422400
